,net
3024,"(4, 2, 2, 2, 2, 4)"
3025,"(2, 1, 3, 2, 4, 2)"
3027,"(2, 2, 1, 0, 4, 4)"
3029,"(2, 4, 4, 2, 1, 3)"
3030,"(4, 2, 2, 1, 3, 0)"
3033,"(4, 3, 2, 3, 2, 0)"
3037,"(2, 1, 3, 2, 0, 4)"
3039,"(4, 2, 3, 2, 3, 4)"
3040,"(4, 4, 2, 0, 1, 3)"
3043,"(4, 4, 4, 3, 0, 2)"
3044,"(3, 4, 3, 4, 2, 2)"
3045,"(2, 4, 3, 4, 1, 0)"
3050,"(2, 3, 3, 3, 2, 3)"
3051,"(4, 4, 4, 2, 4, 3)"
3053,"(4, 0, 3, 1, 4, 2)"
3057,"(4, 4, 1, 2, 1, 0)"
3058,"(0, 0, 2, 1, 2, 2)"
3059,"(4, 1, 3, 3, 3, 2)"
3060,"(2, 0, 3, 1, 3, 4)"
3061,"(3, 1, 2, 3, 2, 2)"
3063,"(4, 2, 4, 0, 2, 3)"
3064,"(3, 1, 1, 2, 2, 2)"
3066,"(4, 4, 2, 3, 1, 4)"
3068,"(3, 3, 1, 3, 1, 2)"
3069,"(4, 4, 2, 2, 2, 0)"
3071,"(4, 3, 1, 0, 3, 4)"
3073,"(3, 0, 1, 1, 2, 3)"
3077,"(0, 0, 2, 4, 2, 3)"
3085,"(3, 4, 0, 3, 3, 0)"
3088,"(4, 0, 1, 2, 3, 4)"
3089,"(1, 3, 4, 1, 1, 2)"
3092,"(3, 1, 0, 4, 1, 4)"
3093,"(3, 3, 2, 1, 3, 4)"
3096,"(3, 1, 4, 1, 2, 1)"
3101,"(2, 1, 0, 3, 3, 3)"
3102,"(3, 3, 2, 3, 4, 4)"
3103,"(0, 3, 3, 3, 4, 2)"
3106,"(2, 3, 4, 4, 2, 3)"
3107,"(4, 2, 0, 2, 3, 4)"
3108,"(3, 1, 3, 4, 1, 2)"
3109,"(2, 3, 1, 0, 3, 2)"
3111,"(0, 4, 2, 4, 3, 2)"
3112,"(2, 1, 3, 4, 2, 3)"
3114,"(3, 2, 3, 2, 3, 3)"
3116,"(0, 1, 0, 2, 2, 3)"
3118,"(2, 0, 3, 0, 1, 4)"
3120,"(1, 3, 3, 1, 1, 3)"
3122,"(3, 1, 4, 4, 2, 2)"
3123,"(0, 3, 2, 2, 0, 2)"
3124,"(4, 4, 0, 0, 2, 3)"
3126,"(3, 2, 2, 4, 3, 0)"
3128,"(3, 0, 0, 1, 3, 2)"
3130,"(4, 0, 3, 4, 2, 4)"
3133,"(3, 1, 0, 3, 2, 2)"
3135,"(3, 1, 4, 2, 3, 4)"
3137,"(3, 2, 3, 4, 4, 0)"
3139,"(4, 2, 2, 4, 1, 4)"
3142,"(4, 3, 0, 1, 3, 4)"
3143,"(4, 0, 0, 4, 4, 3)"
3144,"(4, 2, 0, 1, 4, 2)"
3146,"(4, 4, 0, 3, 2, 4)"
3147,"(2, 4, 3, 3, 4, 4)"
3151,"(2, 3, 3, 2, 2, 2)"
3154,"(4, 4, 0, 2, 3, 0)"
3157,"(2, 4, 4, 4, 1, 3)"
3158,"(3, 2, 3, 4, 0, 2)"
3159,"(0, 2, 0, 3, 0, 4)"
3161,"(0, 4, 4, 1, 2, 3)"
3166,"(3, 1, 1, 1, 2, 1)"
3168,"(4, 4, 2, 2, 1, 3)"
3174,"(0, 0, 2, 3, 1, 2)"
3178,"(3, 3, 0, 1, 4, 4)"
3182,"(0, 4, 4, 4, 2, 4)"
3183,"(2, 3, 0, 1, 4, 4)"
3185,"(3, 0, 1, 2, 3, 2)"
3187,"(4, 2, 4, 2, 2, 3)"
3188,"(3, 1, 1, 4, 2, 2)"
3189,"(2, 0, 4, 4, 4, 4)"
3190,"(0, 0, 0, 0, 0, 2)"
3193,"(4, 3, 1, 2, 2, 4)"
3195,"(4, 1, 0, 4, 4, 0)"
3199,"(2, 2, 2, 3, 4, 0)"
3203,"(2, 2, 3, 4, 3, 4)"
3212,"(3, 3, 2, 2, 4, 3)"
3216,"(3, 2, 0, 4, 4, 0)"
3217,"(3, 3, 3, 0, 1, 0)"
3218,"(2, 3, 0, 4, 1, 0)"
3219,"(4, 2, 2, 2, 0, 0)"
3229,"(3, 2, 0, 4, 0, 2)"
3232,"(4, 2, 0, 4, 2, 4)"
3233,"(4, 0, 4, 4, 3, 2)"
3234,"(2, 3, 2, 2, 3, 0)"
3235,"(3, 2, 1, 4, 0, 4)"
3237,"(2, 3, 2, 3, 3, 4)"
3243,"(4, 3, 0, 0, 2, 3)"
3244,"(0, 3, 0, 1, 2, 2)"
3245,"(3, 3, 4, 0, 4, 2)"
3247,"(2, 0, 3, 2, 1, 4)"
3251,"(4, 0, 4, 3, 0, 0)"
3254,"(2, 4, 4, 3, 0, 2)"
3255,"(4, 4, 0, 2, 2, 3)"
3257,"(4, 0, 1, 0, 1, 3)"
3260,"(4, 3, 0, 4, 2, 4)"
3264,"(4, 0, 0, 2, 0, 0)"
3266,"(4, 3, 0, 3, 3, 0)"
3271,"(4, 3, 3, 4, 2, 0)"
3272,"(4, 0, 1, 3, 0, 4)"
3273,"(2, 4, 1, 2, 2, 0)"
3274,"(2, 3, 4, 1, 3, 3)"
3277,"(2, 4, 0, 1, 2, 0)"
3278,"(0, 0, 3, 3, 3, 0)"
3285,"(4, 2, 0, 3, 0, 4)"
3287,"(2, 1, 2, 3, 3, 0)"
3290,"(4, 2, 0, 2, 1, 0)"
3291,"(4, 3, 1, 1, 2, 3)"
3292,"(2, 3, 4, 4, 3, 4)"
3293,"(2, 4, 4, 2, 2, 0)"
3296,"(2, 4, 2, 0, 0, 3)"
3297,"(2, 4, 2, 4, 4, 2)"
3298,"(4, 1, 0, 2, 0, 4)"
3305,"(2, 2, 3, 3, 3, 3)"
3309,"(2, 3, 0, 3, 3, 4)"
3310,"(3, 0, 0, 2, 0, 2)"
3312,"(2, 3, 0, 2, 4, 0)"
3317,"(2, 4, 2, 4, 0, 4)"
3327,"(0, 0, 0, 2, 0, 2)"
3331,"(3, 0, 3, 0, 2, 4)"
3333,"(4, 0, 2, 4, 0, 4)"
3336,"(2, 3, 0, 2, 0, 2)"
3338,"(2, 3, 2, 2, 2, 3)"
3340,"(4, 3, 0, 2, 0, 4)"
3342,"(4, 0, 2, 3, 1, 0)"
3349,"(3, 0, 4, 0, 3, 4)"
3352,"(4, 3, 4, 4, 1, 3)"
3355,"(3, 4, 4, 4, 4, 4)"
3360,"(2, 3, 3, 2, 3, 3)"
3362,"(2, 0, 1, 0, 2, 4)"
3366,"(3, 4, 1, 0, 2, 4)"
3367,"(0, 4, 0, 4, 0, 4)"
3369,"(2, 3, 2, 4, 3, 0)"
3372,"(4, 3, 0, 3, 2, 3)"
3377,"(2, 0, 3, 4, 1, 0)"
3380,"(4, 1, 2, 3, 0, 4)"
3382,"(2, 2, 0, 0, 2, 4)"
3385,"(4, 0, 1, 2, 0, 3)"
3386,"(2, 3, 4, 0, 3, 2)"
3387,"(2, 3, 0, 1, 2, 0)"
3390,"(3, 3, 1, 2, 4, 4)"
3396,"(3, 3, 2, 3, 1, 3)"
3397,"(3, 3, 4, 2, 0, 4)"
3398,"(4, 2, 0, 2, 0, 3)"
3399,"(4, 4, 1, 4, 4, 3)"
3402,"(3, 0, 2, 1, 2, 4)"
3407,"(2, 1, 1, 4, 1, 4)"
3410,"(2, 4, 0, 4, 1, 4)"
3413,"(2, 3, 4, 3, 3, 3)"
3416,"(2, 4, 0, 3, 2, 0)"
3421,"(2, 3, 0, 2, 3, 3)"
3424,"(3, 4, 0, 2, 2, 4)"
3427,"(2, 3, 2, 3, 1, 0)"
3429,"(3, 2, 2, 3, 4, 0)"
3430,"(3, 3, 3, 0, 4, 3)"
3432,"(4, 3, 4, 4, 4, 4)"
3433,"(4, 3, 2, 4, 2, 3)"
3439,"(4, 0, 2, 3, 0, 3)"
3442,"(4, 3, 3, 1, 3, 0)"
3443,"(2, 2, 0, 3, 4, 4)"
3444,"(2, 4, 1, 4, 2, 2)"
3446,"(2, 1, 3, 2, 1, 3)"
3450,"(3, 0, 0, 4, 0, 2)"
3453,"(3, 0, 2, 0, 4, 2)"
3455,"(2, 1, 1, 3, 3, 2)"
3457,"(4, 3, 0, 4, 0, 0)"
3458,"(0, 1, 2, 0, 2, 4)"
3459,"(4, 3, 2, 0, 4, 0)"
3461,"(3, 3, 3, 3, 4, 4)"
3463,"(4, 4, 1, 3, 1, 3)"
3465,"(3, 3, 1, 0, 3, 0)"
3468,"(0, 4, 4, 0, 3, 3)"
3469,"(0, 1, 4, 3, 4, 2)"
3479,"(2, 3, 2, 4, 2, 3)"
3488,"(3, 3, 0, 3, 2, 3)"
3492,"(0, 4, 2, 2, 3, 4)"
3493,"(2, 0, 1, 2, 2, 4)"
3496,"(3, 4, 2, 3, 2, 4)"
3498,"(2, 1, 3, 1, 3, 1)"
3506,"(4, 4, 3, 2, 1, 4)"
3508,"(2, 2, 0, 2, 1, 4)"
3509,"(4, 3, 4, 2, 3, 0)"
3512,"(3, 1, 2, 4, 4, 4)"
3513,"(3, 3, 2, 1, 4, 3)"
3514,"(2, 1, 2, 4, 2, 2)"
3518,"(2, 3, 4, 2, 2, 2)"
3525,"(3, 4, 4, 2, 1, 3)"
3528,"(3, 3, 1, 4, 3, 4)"
3531,"(0, 2, 3, 0, 2, 4)"
3534,"(2, 1, 3, 4, 3, 2)"
3535,"(3, 2, 3, 2, 4, 2)"
3536,"(0, 3, 1, 4, 3, 4)"
3540,"(3, 0, 2, 3, 2, 0)"
3542,"(3, 1, 0, 0, 4, 0)"
3548,"(3, 0, 0, 0, 0, 0)"
3550,"(2, 1, 3, 2, 4, 4)"
3552,"(0, 4, 2, 4, 0, 3)"
3553,"(4, 2, 3, 4, 3, 0)"
3554,"(4, 2, 2, 1, 3, 2)"
3557,"(2, 2, 1, 4, 0, 2)"
3558,"(4, 3, 2, 3, 2, 2)"
3559,"(2, 0, 2, 3, 1, 4)"
3564,"(3, 4, 4, 4, 2, 0)"
3565,"(3, 1, 4, 2, 4, 3)"
3569,"(2, 2, 4, 0, 4, 4)"
3570,"(2, 2, 2, 0, 2, 3)"
3571,"(4, 0, 0, 2, 4, 2)"
3572,"(2, 2, 1, 3, 4, 3)"
3573,"(3, 4, 3, 4, 2, 4)"
3574,"(4, 4, 4, 3, 0, 4)"
3578,"(3, 4, 3, 3, 3, 0)"
3583,"(4, 0, 3, 1, 4, 4)"
3586,"(3, 3, 3, 2, 4, 3)"
3588,"(4, 4, 1, 2, 1, 2)"
3589,"(2, 1, 0, 1, 3, 1)"
3591,"(4, 1, 3, 3, 3, 4)"
3593,"(3, 1, 2, 3, 2, 4)"
3595,"(4, 1, 3, 2, 4, 0)"
3596,"(3, 3, 4, 3, 1, 2)"
3600,"(1, 2, 3, 1, 1, 0)"
3601,"(3, 0, 4, 1, 2, 3)"
3602,"(3, 3, 1, 3, 1, 4)"
3603,"(4, 4, 2, 2, 2, 2)"
3611,"(4, 3, 2, 2, 4, 0)"
3616,"(3, 3, 2, 3, 2, 4)"
3619,"(3, 2, 1, 2, 4, 4)"
3620,"(3, 4, 0, 3, 3, 2)"
3622,"(3, 0, 4, 4, 3, 0)"
3623,"(2, 0, 0, 0, 2, 3)"
3627,"(3, 4, 2, 2, 2, 3)"
3628,"(1, 3, 4, 1, 1, 4)"
3633,"(2, 2, 2, 4, 4, 3)"
3639,"(0, 0, 2, 0, 4, 2)"
3643,"(0, 3, 3, 3, 4, 4)"
3648,"(3, 1, 3, 4, 1, 4)"
3649,"(0, 4, 2, 4, 3, 4)"
3650,"(2, 3, 1, 0, 3, 4)"
3651,"(2, 3, 2, 0, 4, 2)"
3652,"(3, 1, 3, 3, 2, 0)"
3658,"(2, 2, 0, 4, 2, 0)"
3661,"(4, 4, 2, 1, 4, 0)"
3662,"(4, 1, 1, 3, 3, 0)"
3666,"(3, 1, 4, 4, 2, 4)"
3670,"(3, 2, 2, 4, 3, 2)"
3675,"(1, 0, 2, 1, 1, 0)"
3676,"(3, 0, 0, 1, 3, 4)"
3677,"(3, 4, 4, 4, 1, 3)"
3681,"(2, 3, 2, 3, 4, 3)"
3682,"(2, 4, 4, 0, 2, 0)"
3683,"(3, 1, 0, 3, 2, 4)"
3684,"(0, 2, 3, 2, 2, 4)"
3686,"(2, 1, 1, 3, 4, 3)"
3689,"(3, 2, 3, 4, 4, 2)"
3690,"(3, 3, 0, 0, 3, 3)"
3691,"(3, 4, 3, 3, 2, 3)"
3693,"(4, 2, 0, 1, 4, 4)"
3696,"(2, 3, 3, 2, 2, 4)"
3698,"(4, 4, 0, 2, 3, 2)"
3699,"(3, 1, 2, 2, 1, 3)"
3700,"(4, 0, 3, 0, 4, 3)"
3701,"(2, 2, 4, 2, 4, 0)"
3703,"(3, 2, 3, 4, 0, 4)"
3708,"(0, 4, 2, 3, 0, 4)"
3710,"(4, 2, 2, 0, 3, 3)"
3711,"(0, 2, 1, 0, 1, 3)"
3712,"(2, 4, 1, 3, 2, 3)"
3714,"(0, 3, 2, 1, 2, 2)"
3718,"(3, 3, 3, 4, 3, 3)"
3725,"(4, 4, 1, 4, 1, 2)"
3728,"(4, 2, 2, 3, 4, 0)"
3729,"(3, 0, 4, 4, 2, 3)"
3736,"(3, 2, 1, 1, 4, 3)"
3737,"(4, 2, 2, 3, 3, 4)"
3738,"(3, 1, 1, 4, 2, 4)"
3739,"(0, 0, 0, 0, 0, 4)"
3740,"(0, 4, 1, 0, 1, 2)"
3745,"(3, 1, 1, 3, 3, 0)"
3746,"(4, 1, 0, 4, 4, 2)"
3750,"(2, 2, 2, 3, 4, 2)"
3752,"(3, 1, 2, 1, 3, 1)"
3755,"(4, 1, 3, 4, 0, 2)"
3756,"(4, 0, 4, 1, 3, 3)"
3760,"(3, 0, 2, 4, 0, 0)"
3764,"(3, 2, 0, 4, 4, 2)"
3765,"(2, 3, 0, 4, 1, 2)"
3766,"(0, 2, 0, 1, 3, 0)"
3767,"(4, 2, 2, 2, 0, 2)"
3771,"(3, 4, 2, 4, 2, 3)"
3778,"(2, 2, 1, 4, 1, 3)"
3781,"(3, 1, 4, 3, 2, 3)"
3783,"(3, 2, 0, 4, 0, 4)"
3786,"(4, 0, 4, 4, 3, 4)"
3787,"(3, 2, 0, 3, 1, 0)"
3788,"(2, 3, 2, 2, 3, 2)"
3790,"(3, 0, 0, 0, 3, 3)"
3794,"(3, 3, 3, 3, 1, 3)"
3797,"(4, 2, 4, 1, 4, 3)"
3799,"(3, 1, 0, 2, 2, 3)"
3800,"(4, 0, 3, 1, 2, 0)"
3801,"(2, 1, 1, 2, 4, 2)"
3804,"(4, 1, 3, 3, 1, 0)"
3808,"(3, 3, 4, 0, 4, 4)"
3810,"(4, 0, 4, 3, 0, 2)"
3812,"(4, 2, 0, 0, 4, 3)"
3814,"(2, 4, 4, 3, 0, 4)"
3817,"(0, 2, 3, 4, 2, 0)"
3820,"(3, 2, 3, 3, 0, 3)"
3825,"(4, 4, 3, 0, 2, 3)"
3827,"(0, 2, 0, 0, 0, 0)"
3832,"(4, 3, 3, 4, 2, 2)"
3835,"(2, 4, 1, 2, 2, 2)"
3838,"(4, 0, 3, 2, 3, 3)"
3840,"(0, 0, 3, 3, 3, 2)"
3843,"(3, 1, 2, 4, 1, 3)"
3845,"(2, 2, 4, 4, 4, 0)"
3846,"(3, 1, 0, 1, 4, 1)"
3847,"(4, 0, 2, 1, 4, 3)"
3848,"(2, 1, 2, 3, 3, 2)"
3851,"(3, 2, 1, 0, 4, 2)"
3852,"(4, 2, 2, 2, 3, 3)"
3854,"(4, 2, 0, 2, 1, 2)"
3856,"(2, 4, 4, 2, 2, 2)"
3857,"(0, 3, 2, 3, 2, 2)"
3862,"(2, 4, 0, 4, 2, 3)"
3865,"(2, 4, 2, 4, 4, 4)"
3866,"(2, 2, 3, 3, 0, 0)"
3867,"(2, 2, 1, 4, 4, 4)"
3870,"(4, 0, 0, 1, 2, 0)"
3874,"(2, 4, 1, 1, 3, 0)"
3876,"(4, 4, 0, 4, 4, 0)"
3878,"(3, 0, 0, 2, 0, 4)"
3879,"(2, 3, 0, 2, 4, 2)"
3883,"(3, 2, 2, 4, 4, 3)"
3886,"(2, 1, 1, 0, 4, 0)"
3887,"(0, 0, 0, 2, 0, 4)"
3889,"(0, 4, 1, 2, 1, 2)"
3890,"(0, 2, 0, 4, 2, 0)"
3891,"(3, 1, 4, 2, 1, 2)"
3892,"(2, 4, 0, 0, 4, 0)"
3898,"(0, 1, 1, 0, 2, 3)"
3900,"(3, 0, 4, 2, 3, 0)"
3901,"(2, 3, 0, 2, 0, 4)"
3904,"(4, 0, 4, 3, 3, 3)"
3905,"(4, 0, 2, 3, 1, 2)"
3909,"(4, 4, 4, 2, 1, 4)"
3915,"(3, 3, 3, 2, 1, 2)"
3920,"(4, 3, 1, 0, 4, 3)"
3928,"(2, 3, 2, 4, 3, 2)"
3933,"(4, 3, 4, 0, 3, 2)"
3934,"(2, 0, 3, 4, 1, 2)"
3936,"(3, 1, 0, 4, 2, 3)"
3939,"(2, 4, 2, 2, 3, 0)"
3943,"(4, 4, 1, 4, 2, 3)"
3945,"(2, 3, 4, 0, 3, 4)"
3946,"(2, 1, 0, 3, 4, 2)"
3947,"(2, 3, 0, 1, 2, 2)"
3950,"(2, 4, 3, 2, 4, 0)"
3957,"(3, 2, 4, 3, 3, 0)"
3959,"(2, 3, 4, 3, 0, 0)"
3962,"(2, 3, 0, 4, 2, 3)"
3966,"(2, 4, 0, 3, 2, 2)"
3969,"(2, 0, 3, 3, 3, 0)"
3976,"(2, 3, 2, 3, 1, 2)"
3977,"(3, 2, 2, 3, 4, 2)"
3978,"(4, 0, 1, 1, 2, 3)"
3981,"(2, 0, 4, 3, 4, 0)"
3985,"(4, 3, 0, 4, 4, 0)"
3988,"(4, 3, 3, 1, 3, 2)"
3989,"(2, 4, 1, 4, 2, 4)"
3990,"(0, 4, 0, 3, 3, 3)"
3992,"(0, 0, 0, 4, 0, 0)"
3995,"(3, 0, 0, 4, 0, 4)"
3996,"(4, 0, 1, 4, 3, 0)"
3997,"(3, 0, 2, 0, 4, 4)"
3998,"(4, 3, 4, 3, 1, 4)"
3999,"(2, 1, 1, 3, 3, 4)"
4000,"(4, 3, 0, 4, 0, 2)"
4003,"(4, 3, 2, 0, 4, 2)"
4004,"(4, 0, 1, 4, 2, 4)"
4005,"(3, 4, 0, 4, 3, 3)"
4006,"(3, 3, 1, 0, 3, 2)"
4007,"(3, 4, 4, 1, 4, 0)"
4008,"(2, 4, 0, 2, 4, 0)"
4011,"(4, 1, 3, 3, 4, 3)"
4012,"(0, 1, 4, 3, 4, 4)"
4013,"(0, 1, 2, 3, 2, 3)"
4015,"(4, 0, 3, 3, 0, 3)"
4018,"(4, 1, 1, 0, 2, 3)"
4019,"(1, 0, 0, 1, 1, 3)"
4020,"(4, 3, 3, 4, 3, 3)"
4026,"(4, 0, 2, 2, 1, 3)"
4028,"(3, 0, 1, 2, 0, 3)"
4031,"(2, 2, 3, 2, 2, 0)"
4033,"(4, 2, 1, 2, 4, 2)"
4041,"(0, 2, 2, 0, 1, 4)"
4044,"(2, 4, 2, 4, 2, 0)"
4046,"(4, 3, 4, 2, 3, 2)"
4048,"(2, 1, 2, 4, 2, 4)"
4049,"(2, 3, 4, 2, 2, 4)"
4051,"(4, 0, 4, 0, 4, 3)"
4053,"(3, 4, 0, 3, 0, 3)"
4060,"(2, 1, 3, 4, 3, 4)"
4061,"(3, 2, 3, 2, 4, 4)"
4064,"(0, 4, 1, 2, 2, 3)"
4066,"(4, 0, 4, 4, 0, 3)"
4070,"(3, 4, 1, 1, 4, 0)"
4071,"(4, 1, 1, 4, 4, 3)"
4078,"(4, 0, 4, 3, 4, 4)"
4079,"(4, 2, 3, 4, 3, 2)"
4080,"(4, 2, 2, 1, 3, 4)"
4082,"(4, 3, 2, 3, 2, 4)"
4083,"(4, 3, 0, 4, 3, 3)"
4087,"(3, 4, 4, 4, 2, 2)"
4088,"(4, 2, 3, 2, 0, 3)"
4094,"(4, 0, 0, 2, 4, 4)"
4097,"(2, 1, 4, 2, 3, 3)"
4100,"(3, 4, 3, 3, 3, 2)"
4104,"(3, 0, 0, 3, 0, 3)"
4105,"(3, 4, 4, 1, 3, 3)"
4109,"(4, 4, 1, 2, 1, 4)"
4113,"(4, 1, 4, 3, 0, 3)"
4114,"(4, 1, 3, 2, 4, 2)"
4115,"(3, 3, 4, 3, 1, 4)"
4116,"(3, 4, 1, 4, 0, 3)"
4117,"(3, 0, 2, 2, 4, 0)"
4119,"(4, 0, 3, 2, 0, 2)"
4120,"(1, 2, 3, 1, 1, 2)"
4122,"(4, 3, 3, 3, 3, 2)"
4124,"(4, 4, 2, 2, 2, 4)"
4126,"(3, 3, 1, 2, 2, 2)"
4131,"(4, 3, 2, 2, 4, 2)"
4133,"(2, 4, 3, 1, 2, 2)"
4134,"(3, 4, 4, 3, 4, 0)"
4138,"(3, 4, 0, 3, 3, 4)"
4139,"(3, 0, 4, 4, 3, 2)"
4140,"(2, 1, 3, 0, 3, 2)"
4141,"(2, 1, 1, 1, 4, 1)"
4146,"(3, 4, 0, 2, 4, 0)"
4149,"(3, 0, 3, 0, 3, 3)"
4150,"(0, 0, 2, 0, 4, 4)"
4153,"(4, 0, 2, 4, 1, 3)"
4156,"(4, 0, 0, 0, 3, 0)"
4157,"(3, 4, 0, 2, 0, 2)"
4163,"(4, 2, 1, 4, 4, 2)"
4168,"(2, 1, 3, 3, 3, 3)"
4169,"(4, 3, 4, 4, 2, 2)"
4170,"(4, 1, 1, 3, 3, 2)"
4171,"(4, 4, 2, 1, 4, 2)"
4172,"(2, 2, 0, 4, 2, 2)"
4173,"(3, 2, 3, 1, 4, 3)"
4179,"(3, 0, 3, 3, 4, 0)"
4180,"(4, 4, 1, 0, 0, 0)"
4182,"(4, 0, 4, 2, 3, 3)"
4184,"(2, 0, 4, 2, 2, 2)"
4185,"(2, 0, 1, 0, 3, 3)"
4188,"(3, 2, 2, 4, 3, 4)"
4190,"(1, 0, 2, 1, 1, 2)"
4191,"(3, 4, 2, 1, 4, 3)"
4195,"(4, 1, 0, 0, 2, 4)"
4197,"(3, 2, 3, 4, 4, 4)"
4200,"(3, 2, 0, 0, 3, 0)"
4201,"(3, 4, 1, 3, 4, 0)"
4204,"(4, 4, 0, 2, 3, 4)"
4205,"(3, 4, 0, 1, 2, 0)"
4206,"(2, 2, 4, 2, 4, 2)"
4211,"(1, 4, 0, 1, 1, 2)"
4212,"(4, 1, 4, 2, 0, 2)"
4216,"(4, 1, 3, 1, 4, 1)"
4217,"(3, 3, 4, 2, 1, 3)"
4219,"(3, 4, 1, 3, 0, 2)"
4221,"(0, 0, 3, 0, 0, 2)"
4224,"(3, 2, 4, 2, 4, 3)"
4232,"(3, 4, 4, 3, 3, 3)"
4233,"(2, 0, 2, 1, 3, 3)"
4234,"(0, 2, 4, 3, 2, 0)"
4235,"(4, 4, 1, 4, 1, 4)"
4236,"(3, 1, 2, 4, 2, 2)"
4237,"(3, 4, 3, 2, 3, 3)"
4239,"(4, 1, 3, 4, 4, 2)"
4242,"(3, 0, 2, 4, 4, 0)"
4243,"(3, 2, 2, 2, 2, 0)"
4245,"(3, 3, 1, 4, 1, 2)"
4247,"(3, 1, 1, 3, 3, 2)"
4248,"(4, 1, 0, 4, 4, 4)"
4250,"(2, 2, 3, 4, 0, 3)"
4251,"(4, 3, 2, 4, 3, 2)"
4252,"(2, 3, 1, 1, 2, 3)"
4254,"(3, 1, 4, 0, 2, 4)"
4257,"(4, 1, 3, 4, 0, 4)"
4259,"(4, 4, 4, 4, 2, 0)"
4260,"(3, 0, 2, 4, 0, 2)"
4261,"(3, 2, 1, 0, 1, 3)"
4262,"(4, 2, 2, 2, 0, 4)"
4264,"(3, 2, 0, 4, 4, 4)"
4267,"(2, 3, 0, 4, 1, 4)"
4274,"(4, 3, 2, 3, 0, 0)"
4275,"(2, 3, 3, 0, 1, 2)"
4277,"(2, 2, 3, 0, 2, 0)"
4278,"(3, 2, 3, 0, 4, 2)"
4282,"(0, 4, 0, 3, 0, 2)"
4283,"(0, 1, 2, 4, 2, 4)"
4284,"(3, 0, 4, 3, 3, 3)"
4285,"(3, 4, 3, 4, 0, 2)"
4286,"(2, 3, 2, 2, 3, 4)"
4288,"(3, 1, 2, 3, 4, 0)"
4292,"(3, 4, 0, 4, 0, 2)"
4293,"(4, 1, 2, 2, 4, 3)"
4295,"(4, 0, 3, 1, 2, 2)"
4297,"(2, 1, 1, 2, 4, 4)"
4298,"(4, 1, 3, 3, 1, 2)"
4301,"(3, 2, 3, 3, 4, 3)"
4303,"(3, 1, 2, 3, 0, 2)"
4306,"(3, 1, 1, 2, 0, 2)"
4307,"(4, 2, 1, 1, 2, 0)"
4309,"(0, 0, 1, 0, 1, 2)"
4319,"(4, 3, 3, 4, 2, 4)"
4320,"(0, 0, 4, 0, 4, 3)"
4326,"(0, 3, 2, 0, 2, 3)"
4327,"(2, 4, 1, 2, 2, 4)"
4328,"(3, 4, 4, 2, 2, 2)"
4330,"(3, 2, 0, 2, 3, 0)"
4332,"(4, 1, 4, 4, 3, 3)"
4333,"(2, 2, 4, 4, 4, 2)"
4341,"(2, 1, 2, 3, 3, 4)"
4343,"(4, 4, 1, 1, 4, 3)"
4344,"(3, 2, 1, 0, 4, 4)"
4345,"(3, 2, 4, 4, 3, 3)"
4346,"(4, 2, 0, 2, 1, 4)"
4348,"(2, 1, 3, 4, 0, 3)"
4349,"(0, 3, 2, 3, 2, 4)"
4351,"(2, 4, 4, 2, 2, 4)"
4353,"(2, 2, 3, 3, 0, 2)"
4355,"(2, 2, 4, 3, 1, 0)"
4356,"(0, 1, 0, 2, 0, 3)"
4358,"(0, 0, 0, 2, 4, 4)"
4361,"(4, 0, 0, 1, 2, 2)"
4362,"(4, 1, 1, 3, 4, 3)"
4364,"(4, 4, 0, 0, 0, 3)"
4365,"(2, 4, 3, 0, 2, 3)"
4366,"(4, 4, 2, 0, 2, 4)"
4367,"(2, 4, 1, 1, 3, 2)"
4368,"(4, 4, 0, 4, 4, 2)"
4371,"(3, 2, 2, 4, 1, 0)"
4372,"(3, 4, 3, 4, 3, 3)"
4373,"(2, 3, 0, 2, 4, 4)"
4374,"(2, 0, 2, 4, 2, 0)"
4375,"(3, 1, 4, 2, 1, 4)"
4376,"(0, 4, 1, 2, 1, 4)"
4377,"(2, 4, 0, 0, 4, 2)"
4383,"(3, 0, 4, 2, 3, 2)"
4384,"(2, 1, 4, 2, 0, 2)"
4388,"(3, 4, 1, 4, 1, 0)"
4389,"(4, 2, 4, 0, 3, 4)"
4390,"(4, 0, 2, 3, 1, 4)"
4391,"(3, 1, 1, 2, 3, 3)"
4392,"(2, 4, 1, 4, 3, 3)"
4397,"(3, 0, 1, 1, 4, 0)"
4400,"(0, 2, 0, 0, 3, 3)"
4402,"(2, 1, 0, 0, 4, 3)"
4409,"(2, 0, 4, 1, 2, 3)"
4412,"(0, 2, 1, 4, 3, 0)"
4415,"(2, 3, 2, 4, 3, 4)"
4420,"(4, 3, 4, 0, 3, 4)"
4421,"(4, 1, 2, 4, 4, 3)"
4422,"(2, 1, 0, 4, 0, 3)"
4423,"(2, 4, 2, 2, 3, 2)"
4429,"(2, 2, 1, 2, 3, 2)"
4431,"(2, 1, 0, 3, 4, 4)"
4433,"(2, 3, 0, 1, 2, 4)"
4435,"(3, 1, 3, 4, 2, 3)"
4437,"(2, 4, 3, 2, 4, 2)"
4442,"(2, 2, 2, 3, 2, 0)"
4450,"(0, 2, 0, 2, 0, 2)"
4451,"(2, 1, 2, 2, 3, 3)"
4453,"(3, 2, 2, 0, 4, 3)"
4457,"(3, 2, 4, 3, 3, 2)"
